player,sleeper_id,nba_team,fantasy_team,date,week,matchup,minutes,fpts,fpts_per_min,pts,reb,ast,stl,blk,tov,fgm,fga,fg_pct,ftm,fta,fg3m
Brandon Ingram,1698,TOR,grabri,"Jan 07, 2026",12,TOR @ CHA,11,16.0,1.45,6,0,2,0,3,0,2,7,0.286,2,2,0
Brandon Ingram,1698,TOR,grabri,"Jan 12, 2026",13,TOR vs. PHI,34,35.0,1.03,17,10,7,0,0,3,5,15,0.333,7,7,0
Brandon Ingram,1698,TOR,grabri,"Jan 14, 2026",13,TOR @ IND,36,50.4,1.4,30,7,4,1,0,1,12,23,0.522,3,4,3
Brandon Ingram,1698,TOR,grabri,"Jan 16, 2026",13,TOR vs. LAC,41,29.6,0.72,19,6,2,0,2,5,7,13,0.538,3,3,2
Brandon Ingram,1698,TOR,grabri,"Nov 02, 2025",2,TOR vs. MEM,33,43.8,1.33,26,7,4,0,1,4,10,15,0.667,5,6,1
Brandon Ingram,1698,TOR,grabri,"Nov 04, 2025",3,TOR vs. MIL,31,35.0,1.13,13,8,4,0,2,2,6,12,0.5,1,1,0
Brandon Ingram,1698,TOR,grabri,"Nov 07, 2025",3,TOR @ ATL,35,34.6,0.99,20,6,4,1,1,2,7,19,0.368,4,4,2
Brandon Ingram,1698,TOR,grabri,"Nov 08, 2025",3,TOR @ PHI,37,38.0,1.03,21,8,5,0,0,1,7,17,0.412,7,7,0
Brandon Ingram,1698,TOR,grabri,"Nov 11, 2025",4,TOR @ BKN,33,44.8,1.36,25,5,4,1,1,0,8,17,0.471,8,9,1
Brandon Ingram,1698,TOR,grabri,"Nov 13, 2025",4,TOR @ CLE,35,18.5,0.53,11,5,4,0,1,3,5,15,0.333,1,1,0
Brandon Ingram,1698,TOR,grabri,"Nov 15, 2025",4,TOR @ IND,30,33.5,1.12,19,5,2,3,0,2,6,12,0.5,7,9,0
Brandon Ingram,1698,TOR,grabri,"Nov 17, 2025",5,TOR vs. CHA,37,43.9,1.19,27,6,3,2,3,5,9,21,0.429,6,7,3
Brandon Ingram,1698,TOR,grabri,"Nov 19, 2025",5,TOR @ PHI,31,27.6,0.89,22,0,5,0,0,4,7,10,0.7,6,7,2
Brandon Ingram,1698,TOR,grabri,"Nov 21, 2025",5,TOR vs. WAS,30,48.0,1.6,24,8,6,2,1,4,6,12,0.5,12,13,0
Brandon Ingram,1698,TOR,grabri,"Nov 23, 2025",5,TOR vs. BKN,36,25.6,0.71,14,6,4,2,0,3,6,18,0.333,0,0,2
Brandon Ingram,1698,TOR,grabri,"Nov 24, 2025",6,TOR vs. CLE,37,45.0,1.22,37,7,2,1,0,4,15,30,0.5,2,5,5
Brandon Ingram,1698,TOR,grabri,"Nov 26, 2025",6,TOR vs. IND,38,38.3,1.01,26,8,0,2,1,3,11,23,0.478,3,5,1
Brandon Ingram,1698,TOR,grabri,"Nov 29, 2025",6,TOR @ CHA,40,26.3,0.66,22,6,4,0,0,3,10,26,0.385,1,2,1
Brandon Ingram,1698,TOR,grabri,"Nov 30, 2025",6,TOR @ NYK,32,8.1,0.25,14,1,4,0,0,5,4,11,0.364,4,7,2
